feature,lgbm,xgb,catboost,lgbm_norm,xgb_norm,catboost_norm,ensemble_importance
volume_ma_20,155,0.036265373,7.419915153791923,0.8757062146892656,0.42632039649074926,1.0,0.7673422037266716
MACDs_12_26_9,177,0.04281817,5.518066529680878,1.0,0.503352305601835,0.743683238326639,0.749011847976158
btc_MACD_12_26_9,171,0.035844713,6.104246267984894,0.9661016949152542,0.42137529794525286,0.8226841064166804,0.7367203664257292
ATRr_14,148,0.042001046,5.847791769168924,0.8361581920903954,0.49374654364237774,0.7881211102771748,0.7060086153366493
recent_low,83,0.085066006,4.299190846627716,0.4689265536723164,1.0,0.579412399942421,0.6827796512049126
ad,134,0.03364593,6.421418912755047,0.7570621468926554,0.3955273484269489,0.865430234666956,0.6726732433288535
volume_std_20,137,0.034275316,5.061246561135277,0.7740112994350282,0.4029261214889669,0.6821165008266629,0.6196846405835527
btc_close,139,0.030905992,5.232548302215676,0.7853107344632768,0.3633177739944572,0.7052032528352564,0.6179439204309968
MACD_12_26_9,157,0.028074546,4.647799999799827,0.8870056497175142,0.33003249173233123,0.6263953028390876,0.6144778147629777
OBV,114,0.03719359,3.1739715322288444,0.6440677966101694,0.4372321076507489,0.42776385800136774,0.5030212540874287
MACDh_12_26_9,117,0.030935692,3.378112146161897,0.6610169491525424,0.3636669131917116,0.4552763847219364,0.49332008235539676
btc_RSI_14,122,0.026855456,2.8680605782406396,0.6892655367231638,0.31570138418966337,0.38653549519025526,0.46383413870102747
EMA_50,72,0.04690792,2.347255587705864,0.4067796610169492,0.5514296817672307,0.3163453407558585,0.4248515611800128
BBU_20_2.0,68,0.03204675,3.4040039880866715,0.384180790960452,0.3767280474323062,0.45876589119042244,0.40655824319439354
ad_momentum_smooth,97,0.02864755,2.170339986294265,0.5480225988700564,0.33676848057599273,0.2925019951454728,0.3924310248638407
vwap_deviation,112,0.019163612,2.1828595822374584,0.6327683615819208,0.2252793244956849,0.2941892915206605,0.3840789925327554
EMA_100,90,0.021864574,2.624494827452028,0.5084745762711864,0.2570306934191301,0.3537095469495751,0.37307160554663055
btc_volume,92,0.01810644,2.231616407760678,0.519774011299435,0.21285165510153567,0.3007603674039612,0.3444620112683106
MFI_14,82,0.01859668,2.4696252151290405,0.4632768361581921,0.21861471814076908,0.3328373928732793,0.33824298239074685
STOCHd_14_3_3,78,0.023331208,2.1438625598060512,0.4406779661016949,0.27427181978750614,0.2889335680220599,0.33462778463708703
BBL_20_2.0,69,0.026591841,2.2100487691094814,0.3898305084745763,0.3126024426299376,0.2978536443209925,0.3334288651418354
recent_high,53,0.031933606,2.3766355844442337,0.2994350282485876,0.3753979683229915,0.3203049543268244,0.33171265029946784
smart_money_index_smooth,77,0.024398463,1.9791700110571606,0.4350282485875706,0.28681801476802965,0.2667375529281777,0.3295279387612593
VWAP_D,63,0.021243494,2.630197027320517,0.3559322033898305,0.24972953481564836,0.3544780462855244,0.32004659483033443
ad_momentum,59,0.02407434,2.158823965485524,0.3333333333333333,0.28300776641477554,0.2909499530304284,0.30243035092617915
STOCHk_14_3_3,72,0.012373621,2.0815393742408266,0.4067796610169492,0.14545905334032386,0.280534120821727,0.2775909450596667
BBM_20_2.0,39,0.02668464,2.192966250816042,0.22033898305084745,0.3136933466090165,0.29555139181009826,0.27652790715665404
RSI_14,73,0.012131452,1.5304765793374593,0.4124293785310734,0.1426122167757432,0.20626604854845468,0.2537692146184238
smart_money_index,48,0.01761696,0.7713801280856076,0.2711864406779661,0.20709752582162996,0.10396077476592121,0.1940815804218391
candle_body_pct,41,0.018859318,0.7180500215582395,0.23163841807909605,0.22170216405430113,0.09677334668594997,0.18337130960644907
candle_body_size,38,0.014897555,0.9082260872461718,0.21468926553672316,0.175129359959206,0.122403837297523,0.17074082093115073
high_sweep_candidate,0,0.02130765,0.007771326136292129,0.0,0.25048371489536203,0.0010473605122452941,0.08384369180253577
volume_cluster_strength,11,0.008735731,0.3810603851110987,0.06214689265536723,0.10269356347164486,0.051356434300513405,0.0720656301425085
volume_cluster_stat,0,0.013539248,0.030093744180793382,0.0,0.15916167748323037,0.004055807048604063,0.05440582817727815
bearish_volume_cluster,1,0.01238815,0.01704149597199711,0.005649717514124294,0.1456298567462933,0.0022967238329252475,0.05119209936444762
consistent_buying,3,0.009808531,0.13664491069281515,0.01694915254237288,0.1153049442402039,0.018415966740938167,0.050223354507838325
consistent_selling,2,0.0052355314,0.018435101716473615,0.011299435028248588,0.06154669343174249,0.002484543466383496,0.02511022397545819
volume_cluster_quant,3,0.004433343,0.0,0.01694915254237288,0.05211650830848376,0.0,0.023021886950285547
bullish_whale,0,0.0050770543,0.030252454347348547,0.0,0.05968370353547394,0.004077196803509018,0.021253633446327653
low_sweep_candidate,0,0.00483475,0.01330849114716249,0.0,0.05683527947689511,0.0017936176993022931,0.019542965725399136
bullish_volume_cluster,1,0.0042441944,0.0,0.005649717514124294,0.04989295473229114,0.0,0.018514224082138476
whale_activity,1,0.0035963205,0.03260989448063188,0.005649717514124294,0.042276823634277816,0.004394914740226741,0.017440485296209618
stealth_trading,0,0.0031433178,0.00873041452875221,0.0,0.036951514802100585,0.0011766191860415763,0.012709377996047386
smart_money_regime,0,0.0,0.156265762305148,0.0,0.0,0.02106031660285076,0.007020105534283587
selling_absorption,1,0.0,0.01921016382866053,0.005649717514124294,0.0,0.0025890004710961206,0.002746239328406805
price_above_vwap,0,0.0,0.04463530258800488,0.0,0.0,0.006015608219616118,0.0020052027398720393
volume_cluster,0,0.00030440412,0.0,0.0,0.0035784461746693587,0.0,0.001192815391556453
buying_absorption,0,0.0,0.0,0.0,0.0,0.0,0.0
bearish_whale,0,0.0,0.0,0.0,0.0,0.0,0.0
